ID;Geschlecht;Tonlage;Klang;Lautstaerke;Sprache;Gespraechsorientierung;Anrede;Satzpause;Sprechgeschwindigkeit;Satzlaenge;Ausdruck;alternative Keywords
80;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
81;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
82;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
83;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
84;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
85;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
86;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
87;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
88;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
89;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
90;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
91;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
92;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
93;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
94;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
95;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
96;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
97;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
98;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
99;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
100;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
101;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
102;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
103;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
104;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
105;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
106;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
107;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
108;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
109;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
110;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
111;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
112;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
113;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
114;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
115;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
116;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
117;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
118;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
119;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
120;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
121;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
122;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
123;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
124;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
125;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
126;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
127;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
128;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
129;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
130;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
131;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
132;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
133;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
134;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
135;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
136;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
137;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
138;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
139;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
140;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
141;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
142;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
143;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
144;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
145;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
146;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
147;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
148;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
149;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
150;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
151;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
152;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
153;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
154;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
155;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
156;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
157;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
158;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
159;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
160;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
161;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
162;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
163;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
164;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
165;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
166;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
167;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
168;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
169;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
170;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
171;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
172;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
173;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
174;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
175;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
176;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
177;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
178;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
179;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
180;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
181;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
182;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
183;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
184;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
185;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
186;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
187;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
188;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
189;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
190;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
191;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
192;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
193;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
194;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
195;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
196;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
197;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
198;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
199;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
200;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
201;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
202;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
203;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
204;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
205;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
206;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
207;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
208;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
209;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
210;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
211;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
212;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
213;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
214;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
215;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
216;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
217;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
218;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
219;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
220;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
221;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
222;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
223;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
224;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
225;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
226;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
227;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
228;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
229;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
230;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
231;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
232;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;nein;
233;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
234;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
235;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
236;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
237;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
238;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
239;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
240;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
241;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
242;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
243;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
244;maennlich;normal;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;durchschnittlich;normal;ja;
