ID;Name;Alter;Geschlecht;Sprache;Hörgerät;Vorkenntnisse
369;369;73;m;Englisch;ja;nein
370;370;74;m;Englisch;ja;nein
371;371;75;m;Englisch;ja;nein
372;372;76;m;Englisch;ja;nein
373;373;77;m;Englisch;ja;nein
374;374;78;m;Englisch;ja;nein
375;375;79;m;Englisch;ja;nein
376;376;80;m;Englisch;ja;nein
377;377;81;m;Englisch;ja;nein
378;378;82;m;Englisch;ja;nein
379;379;83;m;Englisch;ja;nein
380;380;84;m;Englisch;ja;nein
381;381;85;m;Englisch;ja;nein
382;382;86;m;Englisch;ja;nein
383;383;87;m;Englisch;ja;nein
384;384;88;m;Englisch;ja;nein
385;385;89;m;Englisch;ja;nein
386;386;90;m;Englisch;ja;nein
387;387;91;m;Englisch;ja;nein
388;388;92;m;Englisch;ja;nein
389;389;93;m;Englisch;ja;nein
390;390;94;m;Englisch;ja;nein
391;391;95;m;Englisch;ja;nein
392;392;96;m;Englisch;ja;nein
393;393;97;m;Englisch;ja;nein
394;394;98;m;Englisch;ja;nein
395;395;99;m;Englisch;ja;nein
396;396;100;m;Englisch;ja;nein
397;397;65;w;Englisch;ja;nein
398;398;66;w;Englisch;ja;nein
399;399;67;w;Englisch;ja;nein
400;400;68;w;Englisch;ja;nein
401;401;69;w;Englisch;ja;nein
402;402;70;w;Englisch;ja;nein
403;403;71;w;Englisch;ja;nein
404;404;72;w;Englisch;ja;nein
405;405;73;w;Englisch;ja;nein
406;406;74;w;Englisch;ja;nein
407;407;75;w;Englisch;ja;nein
408;408;76;w;Englisch;ja;nein
409;409;77;w;Englisch;ja;nein
410;410;78;w;Englisch;ja;nein
411;411;79;w;Englisch;ja;nein
412;412;80;w;Englisch;ja;nein
413;413;81;w;Englisch;ja;nein
414;414;82;w;Englisch;ja;nein
415;415;83;w;Englisch;ja;nein
416;416;84;w;Englisch;ja;nein
417;417;85;w;Englisch;ja;nein
418;418;86;w;Englisch;ja;nein
419;419;87;w;Englisch;ja;nein
420;420;88;w;Englisch;ja;nein
421;421;89;w;Englisch;ja;nein
422;422;90;w;Englisch;ja;nein
423;423;91;w;Englisch;ja;nein
424;424;92;w;Englisch;ja;nein
425;425;93;w;Englisch;ja;nein
426;426;94;w;Englisch;ja;nein
427;427;95;w;Englisch;ja;nein
428;428;96;w;Englisch;ja;nein
429;429;97;w;Englisch;ja;nein
430;430;98;w;Englisch;ja;nein
431;431;99;w;Englisch;ja;nein
432;432;100;w;Englisch;ja;nein
433;433;65;m;Deutsch;nein;nein
434;434;66;m;Deutsch;nein;nein
435;435;67;m;Deutsch;nein;nein
436;436;68;m;Deutsch;nein;nein
437;437;69;m;Deutsch;nein;nein
438;438;70;m;Deutsch;nein;nein
439;439;71;m;Deutsch;nein;nein
440;440;72;m;Deutsch;nein;nein
441;441;73;m;Deutsch;nein;nein
442;442;74;m;Deutsch;nein;nein
443;443;75;m;Deutsch;nein;nein
444;444;76;m;Deutsch;nein;nein
445;445;77;m;Deutsch;nein;nein
446;446;78;m;Deutsch;nein;nein
447;447;79;m;Deutsch;nein;nein
448;448;80;m;Deutsch;nein;nein
449;449;81;m;Deutsch;nein;nein
450;450;82;m;Deutsch;nein;nein
451;451;83;m;Deutsch;nein;nein
452;452;84;m;Deutsch;nein;nein
453;453;85;m;Deutsch;nein;nein
454;454;86;m;Deutsch;nein;nein
455;455;87;m;Deutsch;nein;nein
456;456;88;m;Deutsch;nein;nein
457;457;89;m;Deutsch;nein;nein
458;458;90;m;Deutsch;nein;nein
459;459;91;m;Deutsch;nein;nein
460;460;92;m;Deutsch;nein;nein
461;461;93;m;Deutsch;nein;nein
462;462;94;m;Deutsch;nein;nein
463;463;95;m;Deutsch;nein;nein
464;464;96;m;Deutsch;nein;nein
465;465;97;m;Deutsch;nein;nein
466;466;98;m;Deutsch;nein;nein
467;467;99;m;Deutsch;nein;nein
468;468;100;m;Deutsch;nein;nein
469;469;65;w;Deutsch;nein;nein
470;470;66;w;Deutsch;nein;nein
471;471;67;w;Deutsch;nein;nein
472;472;68;w;Deutsch;nein;nein
473;473;69;w;Deutsch;nein;nein
474;474;70;w;Deutsch;nein;nein
475;475;71;w;Deutsch;nein;nein
476;476;72;w;Deutsch;nein;nein
477;477;73;w;Deutsch;nein;nein
478;478;74;w;Deutsch;nein;nein
479;479;75;w;Deutsch;nein;nein
480;480;76;w;Deutsch;nein;nein
481;481;77;w;Deutsch;nein;nein
482;482;78;w;Deutsch;nein;nein
483;483;79;w;Deutsch;nein;nein
484;484;80;w;Deutsch;nein;nein
485;485;81;w;Deutsch;nein;nein
486;486;82;w;Deutsch;nein;nein
487;487;83;w;Deutsch;nein;nein
488;488;84;w;Deutsch;nein;nein
489;489;85;w;Deutsch;nein;nein
490;490;86;w;Deutsch;nein;nein
491;491;87;w;Deutsch;nein;nein
492;492;88;w;Deutsch;nein;nein
493;493;89;w;Deutsch;nein;nein
494;494;90;w;Deutsch;nein;nein
495;495;91;w;Deutsch;nein;nein
496;496;92;w;Deutsch;nein;nein
497;497;93;w;Deutsch;nein;nein
498;498;94;w;Deutsch;nein;nein
499;499;95;w;Deutsch;nein;nein
500;500;96;w;Deutsch;nein;nein
501;501;97;w;Deutsch;nein;nein
502;502;98;w;Deutsch;nein;nein
503;503;99;w;Deutsch;nein;nein
504;504;100;w;Deutsch;nein;nein
505;505;65;m;Englisch;nein;nein
506;506;66;m;Englisch;nein;nein
507;507;67;m;Englisch;nein;nein
508;508;68;m;Englisch;nein;nein
509;509;69;m;Englisch;nein;nein
510;510;70;m;Englisch;nein;nein
511;511;71;m;Englisch;nein;nein
512;512;72;m;Englisch;nein;nein
513;513;73;m;Englisch;nein;nein
514;514;74;m;Englisch;nein;nein
515;515;75;m;Englisch;nein;nein
516;516;76;m;Englisch;nein;nein
517;517;77;m;Englisch;nein;nein
518;518;78;m;Englisch;nein;nein
519;519;79;m;Englisch;nein;nein
520;520;80;m;Englisch;nein;nein
521;521;81;m;Englisch;nein;nein
522;522;82;m;Englisch;nein;nein
523;523;83;m;Englisch;nein;nein
524;524;84;m;Englisch;nein;nein
525;525;85;m;Englisch;nein;nein
526;526;86;m;Englisch;nein;nein
527;527;87;m;Englisch;nein;nein
528;528;88;m;Englisch;nein;nein
529;529;89;m;Englisch;nein;nein
530;530;90;m;Englisch;nein;nein
531;531;91;m;Englisch;nein;nein
532;532;92;m;Englisch;nein;nein
533;533;93;m;Englisch;nein;nein
534;534;94;m;Englisch;nein;nein
535;535;95;m;Englisch;nein;nein
536;536;96;m;Englisch;nein;nein
537;537;97;m;Englisch;nein;nein
538;538;98;m;Englisch;nein;nein
539;539;99;m;Englisch;nein;nein
540;540;100;m;Englisch;nein;nein
541;541;65;w;Englisch;nein;nein
542;542;66;w;Englisch;nein;nein
543;543;67;w;Englisch;nein;nein
544;544;68;w;Englisch;nein;nein
545;545;69;w;Englisch;nein;nein
546;546;70;w;Englisch;nein;nein
547;547;71;w;Englisch;nein;nein
548;548;72;w;Englisch;nein;nein
549;549;73;w;Englisch;nein;nein
550;550;74;w;Englisch;nein;nein
551;551;75;w;Englisch;nein;nein
552;552;76;w;Englisch;nein;nein
553;553;77;w;Englisch;nein;nein
554;554;78;w;Englisch;nein;nein
555;555;79;w;Englisch;nein;nein
556;556;80;w;Englisch;nein;nein
557;557;81;w;Englisch;nein;nein
558;558;82;w;Englisch;nein;nein
559;559;83;w;Englisch;nein;nein
560;560;84;w;Englisch;nein;nein
561;561;85;w;Englisch;nein;nein
562;562;86;w;Englisch;nein;nein
563;563;87;w;Englisch;nein;nein
564;564;88;w;Englisch;nein;nein
565;565;89;w;Englisch;nein;nein
566;566;90;w;Englisch;nein;nein
567;567;91;w;Englisch;nein;nein
568;568;92;w;Englisch;nein;nein
569;569;93;w;Englisch;nein;nein
570;570;94;w;Englisch;nein;nein
571;571;95;w;Englisch;nein;nein
572;572;96;w;Englisch;nein;nein
573;573;97;w;Englisch;nein;nein
574;574;98;w;Englisch;nein;nein
575;575;99;w;Englisch;nein;nein
576;576;100;w;Englisch;nein;nein
