ID;Geschlecht;Tonlage;Klang;Lautstärke;Sprache;Gesprächsorientierung;Anrede;alternative Keywords;Satzpause;Sprechgeschwindigkeit;Satzlänge;Ausdruck
75;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
76;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
77;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
78;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
79;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
80;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
81;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
82;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
83;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
84;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
85;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
86;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
87;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
88;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
89;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
90;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
91;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
92;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
93;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
94;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
95;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
96;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
97;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
98;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
99;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
100;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
101;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
102;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
103;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
104;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
105;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
106;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
107;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
108;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
109;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
110;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
111;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
112;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
113;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
114;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
115;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
116;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
117;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
118;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
119;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
120;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
121;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
122;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
123;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
124;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;nein
125;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
126;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
127;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
128;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
129;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
130;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
131;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
132;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
133;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
134;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
135;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
136;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
137;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
138;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
139;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
140;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
141;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
142;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
143;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
144;männlich;tief;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;langsam;vereinfacht;ja
145;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
146;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
147;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
148;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
149;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
150;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
151;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
152;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
153;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
154;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
155;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
156;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
157;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
158;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
159;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
160;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
161;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
162;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
163;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
164;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
165;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
166;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
167;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
168;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
169;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
170;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
171;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
172;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
173;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
174;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
175;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
176;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
177;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
178;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
179;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
180;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
181;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
182;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
183;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
184;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
185;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
186;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
187;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
188;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
189;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
190;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
191;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
192;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
193;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
194;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
195;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
196;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
197;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
198;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
199;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
200;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
201;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
202;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
203;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
204;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
205;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
206;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
207;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
208;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
209;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
210;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
211;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
212;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
213;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
214;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
215;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
216;männlich;normal;natürlich;3;Deutsch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
217;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
218;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
219;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
220;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
221;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
222;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
223;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
224;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
225;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
226;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
227;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
228;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
229;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
230;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
231;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
232;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
233;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
234;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
235;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
236;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
237;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
238;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
239;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
240;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
241;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
242;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
243;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
244;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
245;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
246;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
247;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
248;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
249;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
250;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
251;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
252;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;ja
253;männlich;normal;natürlich;3;Englisch;Aufgaben orientiert;Du;;kurz;durchschnittlich;normal;nein
